Column1,지점명,위도,경도
546,구로제2교 동단,37.4954031,126.887369
547,중앙지구대 부근 사거리,35.4099942,127.3858403
548,신정교 사거리,37.5165947,126.8800916
549,영등포로타리,37.5184006,126.9122551
550,영등포역 앞 삼거리,37.5136513,126.918699
551,영등포역 앞 삼거리,37.5136513,126.918699
552,삼성화재영등포사옥 앞,37.5358333,126.8986111
553,여의교교차로,37.5159431,126.9277969
554,이태원119안전센터 앞 사거리,37.5343325,126.9957857
555,이태원역 삼거리,37.534542,126.994596
556,현대리버티하우스,37.5334838,127.008523
557,녹사평역,37.534945,126.9853515
558,한강대교 북단 교차로,37.5444,127.035339
559,이태원동우체국 부근 교차로,37.534542,126.994596
560,용산역 앞 사거리,37.546865,126.978102
561,현대안성타워아파트,37.5351344,126.997901
562,청년창업플러스센터 앞 사거리,37.5569492,126.9388559
563,서빙고동주민센터 앞 교차로,37.520449,126.990012
564,순천향대서울병원 부근,37.5339355,127.0043336
565,남영역 사거리,37.540597,126.971171
566,한남동 551번지 앞 삼거리,37.5283173,127.0059232
567,삼각지역 사거리,37.5350315,126.9734515
568,보광동주민센터 사거리,37.5262623,127.000163
569,녹사평역,37.534945,126.9853515
570,전쟁기념관 삼거리,37.5366059,126.9771397
571,숙대입구역 삼거리,37.545097,126.971987
572,용산감자탕거리 교차로,37.5306287,126.970051
573,한강대교 북단 교차로,37.5444,127.035339
574,이태원역 삼거리,37.534542,126.994596
575,이태원역 삼거리,37.534542,126.994596
576,이태원역 부근 삼거리,37.534542,126.994596
577,이태원119안전센터 앞 사거리,37.5343325,126.9957857
578,녹사평역,37.534945,126.9853515
579,이태원역 삼거리,37.534542,126.994596
580,현대리버티하우스,37.5334838,127.008523
581,이태원119안전센터 앞 사거리,37.534681,126.996864
582,청년창업플러스센터 앞 사거리,37.5569492,126.9388559
583,이태원역 삼거리,37.534542,126.994596
584,청구성심병원 앞 삼거리,37.6208604,126.9193904
585,국립보건원 앞 삼거리,36.6391538,127.327156
586,구산역 사거리,37.610725,126.917879
587,녹번역 삼거리,37.60605,126.93088
589,신응교,37.5923083,126.9143361
590,불광역 사거리,37.6109729,126.929473
591,연신내역사거리,37.6187724,126.9217574
592,메가박스 삼거리,36.8323515,127.1479648
593,응암오거리,37.5900586,126.9172248
594,연신내역 부근 사거리,37.618812,126.920842
595,신사오거리,37.599049,126.915081
596,구산사거리,37.481045,126.7518045
597,박석고개교차로,37.917381,126.835587
598,서부세무서입구,35.1100872,129.0129503
599,역촌역 교차로,37.606123,126.922791
600,덕원아파트 부근 삼거리,35.4405484,127.3651565
601,갈현동 439-10번지,37.6197387,126.9195545
602,서울은평경찰서 불광지구대 앞,37.6213883,126.9265841
603,갈현동 439-10번지,37.6197387,126.9195545
604,국민연금공단,37.3472342,126.7349648
605,응암오거리,37.5900586,126.9172248
606,응암역 앞 사거리,37.600489,126.915853
